yil,sinav,ders,soru_no,cevap
2024,AYT,Matematik,1,D
2024,AYT,Matematik,2,C
2024,AYT,Matematik,3,E
2024,AYT,Matematik,4,D
2024,AYT,Matematik,5,C
2024,AYT,Matematik,6,B
2024,AYT,Matematik,7,D
2024,AYT,Matematik,8,A
2024,AYT,Matematik,9,B
2024,AYT,Matematik,10,E
2024,AYT,Matematik,11,D
2024,AYT,Matematik,12,A
2024,AYT,Matematik,13,D
2024,AYT,Matematik,14,C
2024,AYT,Matematik,15,B
2024,AYT,Matematik,16,E
2024,AYT,Matematik,17,D
2024,AYT,Matematik,18,C
2024,AYT,Matematik,19,E
2024,AYT,Matematik,20,C
2024,AYT,Matematik,21,D
2024,AYT,Matematik,22,B
2024,AYT,Matematik,23,A
2024,AYT,Matematik,24,A
2024,AYT,Matematik,25,B
2024,AYT,Matematik,26,E
2024,AYT,Matematik,27,B
2024,AYT,Matematik,28,A
2024,AYT,Matematik,29,C
2024,AYT,Matematik,30,D
2024,AYT,Matematik,31,B
2024,AYT,Matematik,32,B
2024,AYT,Matematik,33,D
2024,AYT,Matematik,34,C
2024,AYT,Matematik,35,E
2024,AYT,Matematik,36,E
2024,AYT,Matematik,37,C
2024,AYT,Matematik,38,A
2024,AYT,Matematik,39,B
2024,AYT,Matematik,40,A
2024,AYT,Fen,1,D
2024,AYT,Fen,2,E
2024,AYT,Fen,3,B
2024,AYT,Fen,4,B
2024,AYT,Fen,5,E
2024,AYT,Fen,6,B
2024,AYT,Fen,7,A
2024,AYT,Fen,8,A
2024,AYT,Fen,9,C
2024,AYT,Fen,10,B
2024,AYT,Fen,11,C
2024,AYT,Fen,12,A
2024,AYT,Fen,13,B
2024,AYT,Fen,14,C
2024,AYT,Fen,15,C
2024,AYT,Fen,16,D
2024,AYT,Fen,17,A
2024,AYT,Fen,18,B
2024,AYT,Fen,19,C
2024,AYT,Fen,20,B
2024,AYT,Fen,21,A
2024,AYT,Fen,22,D
2024,AYT,Fen,23,E
2024,AYT,Fen,24,D
2024,AYT,Fen,25,C
2024,AYT,Fen,26,B
2024,AYT,Fen,27,B
2024,AYT,Fen,28,E
2024,AYT,Fen,29,E
2024,AYT,Fen,30,B
2024,AYT,Fen,31,C
2024,AYT,Fen,32,D
2024,AYT,Fen,33,D
2024,AYT,Fen,34,E
2024,AYT,Fen,35,D
2024,AYT,Fen,36,A
2024,AYT,Fen,37,B
2024,AYT,Fen,38,E
2024,AYT,Fen,39,C
2024,AYT,Fen,40,A
2024,AYT,Sosyal2,1,C
2024,AYT,Sosyal2,2,A
2024,AYT,Sosyal2,3,D
2024,AYT,Sosyal2,4,A
2024,AYT,Sosyal2,5,D
2024,AYT,Sosyal2,6,B
2024,AYT,Sosyal2,7,D
2024,AYT,Sosyal2,8,C
2024,AYT,Sosyal2,9,B
2024,AYT,Sosyal2,10,A
2024,AYT,Sosyal2,11,E
2024,AYT,Sosyal2,12,B
2024,AYT,Sosyal2,13,E
2024,AYT,Sosyal2,14,B
2024,AYT,Sosyal2,15,C
2024,AYT,Sosyal2,16,A
2024,AYT,Sosyal2,17,E
2024,AYT,Sosyal2,18,E
2024,AYT,Sosyal2,19,A
2024,AYT,Sosyal2,20,D
2024,AYT,Sosyal2,21,C
2024,AYT,Sosyal2,22,D
2024,AYT,Sosyal2,23,A
2024,AYT,Sosyal2,24,E
2024,AYT,Sosyal2,25,B
2024,AYT,Sosyal2,26,B
2024,AYT,Sosyal2,27,C
2024,AYT,Sosyal2,28,D
2024,AYT,Sosyal2,29,B
2024,AYT,Sosyal2,30,A
2024,AYT,Sosyal2,31,A
2024,AYT,Sosyal2,32,D
2024,AYT,Sosyal2,33,B
2024,AYT,Sosyal2,34,D
2024,AYT,Sosyal2,35,A
2024,AYT,Sosyal2,36,B
2024,AYT,Sosyal2,37,C
2024,AYT,Sosyal2,38,D
2024,AYT,Sosyal2,39,B
2024,AYT,Sosyal2,40,E
2024,AYT,Sosyal2,41,C
2024,AYT,Sosyal2,42,A
2024,AYT,Sosyal2,43,A
2024,AYT,Sosyal2,44,C
2024,AYT,Sosyal2,45,C
2024,AYT,Sosyal2,46,E
2024,AYT,Edebiyat-Sosyal1,1,B
2024,AYT,Edebiyat-Sosyal1,2,E
2024,AYT,Edebiyat-Sosyal1,3,B
2024,AYT,Edebiyat-Sosyal1,4,D
2024,AYT,Edebiyat-Sosyal1,5,C
2024,AYT,Edebiyat-Sosyal1,6,D
2024,AYT,Edebiyat-Sosyal1,7,C
2024,AYT,Edebiyat-Sosyal1,8,E
2024,AYT,Edebiyat-Sosyal1,9,B
2024,AYT,Edebiyat-Sosyal1,10,E
2024,AYT,Edebiyat-Sosyal1,11,B
2024,AYT,Edebiyat-Sosyal1,12,A
2024,AYT,Edebiyat-Sosyal1,13,B
2024,AYT,Edebiyat-Sosyal1,14,A
2024,AYT,Edebiyat-Sosyal1,15,E
2024,AYT,Edebiyat-Sosyal1,16,B
2024,AYT,Edebiyat-Sosyal1,17,E
2024,AYT,Edebiyat-Sosyal1,18,D
2024,AYT,Edebiyat-Sosyal1,19,A
2024,AYT,Edebiyat-Sosyal1,20,C
2024,AYT,Edebiyat-Sosyal1,21,D
2024,AYT,Edebiyat-Sosyal1,22,E
2024,AYT,Edebiyat-Sosyal1,23,B
2024,AYT,Edebiyat-Sosyal1,24,C
2024,AYT,Edebiyat-Sosyal1,25,A
2024,AYT,Edebiyat-Sosyal1,26,E
2024,AYT,Edebiyat-Sosyal1,27,C
2024,AYT,Edebiyat-Sosyal1,28,A
2024,AYT,Edebiyat-Sosyal1,29,B
2024,AYT,Edebiyat-Sosyal1,30,D
2024,AYT,Edebiyat-Sosyal1,31,C
2024,AYT,Edebiyat-Sosyal1,32,A
2024,AYT,Edebiyat-Sosyal1,33,E
2024,AYT,Edebiyat-Sosyal1,34,A
2024,AYT,Edebiyat-Sosyal1,35,C
2024,AYT,Edebiyat-Sosyal1,36,A
2024,AYT,Edebiyat-Sosyal1,37,D
2024,AYT,Edebiyat-Sosyal1,38,E
2024,AYT,Edebiyat-Sosyal1,39,B
2024,AYT,Edebiyat-Sosyal1,40,D
